Numerical_Feature_1,Numerical_Feature_2,Text_Feature_3,Text_Feature_4,Target
0.5494652845441483,1,Red,High,0
0.7237113038224127,4,Red,Low,1
0.8858243408328523,2,Red,High,1
0.9311923864742923,1,Red,Low,0
0.09023957531868632,3,Red,High,0
0.585462622105682,1,Red,Low,1
0.7648261044823437,3,Red,High,0
0.1853866109787441,2,Red,Low,1
0.5351499058810796,1,Red,High,1
0.8453400499163206,2,Red,Low,0
0.881607865689635,3,Red,High,1
0.5396779424927103,0,Red,Low,1
0.8635504328979192,0,Red,High,1
0.8307447735141965,1,Red,Low,0
0.0656341075122916,4,Red,High,1
0.7026199444765027,0,Red,Low,1
0.6229072033914872,2,Red,High,0
0.8342454407869264,0,Red,Low,0
0.700575558590576,1,Red,High,1
0.26426259571127253,2,Red,Low,0
0.5259567475009788,0,Red,High,0
0.20404016532693414,4,Red,Low,1
0.7040923125745961,4,Red,High,0
0.2725941348102717,2,Red,Low,0
0.22007427395628087,3,Red,High,1
0.3145781057591204,1,Red,Low,1
0.05214255239684229,0,Red,High,0
0.5061942527835256,4,Red,Low,1
0.2957157522957973,1,Red,High,1
0.40765106424963937,3,Red,Low,1
0.8697816500484098,1,Red,High,1
0.10389490587706407,2,Red,Low,0
0.031758763582984906,2,Red,High,1
0.10026069371577284,0,Red,Low,1
0.9128140470562671,2,Red,High,1
0.46697915650940136,1,Red,Low,1
0.4529504952486484,1,Red,High,1
0.9737911413055069,1,Red,Low,0
0.5352849730479303,0,Red,High,1
0.3312127921988075,3,Red,Low,1
0.8823868837791664,3,Red,High,1
0.8651454581102112,2,Red,Low,1
0.4129568370693023,0,Red,High,0
0.8598428073479695,3,Red,Low,1
0.6420401807279826,0,Red,High,0
0.4612387930093198,0,Red,Low,1
0.8916032987878987,0,Red,High,1
0.6082028900898041,4,Red,Low,1
0.062095365191049634,2,Red,High,0
0.20804677117424408,0,Red,Low,0
0.2641211946063766,3,Blue,High,1
0.5763173514079156,2,Blue,Low,1
0.33668263674376275,0,Blue,High,0
0.2535887224251432,3,Blue,Low,1
0.2663061958433802,3,Blue,High,1
0.40567050662213144,0,Blue,Low,0
0.0720276797865641,2,Blue,High,1
0.3807554057042274,1,Blue,Low,0
0.10543725385035319,3,Blue,High,1
0.90707149073094,0,Blue,Low,0
0.5704260865740785,2,Blue,High,1
0.8524670589584706,3,Blue,Low,1
0.8373832864675352,2,Blue,High,0
0.18363698827577846,0,Blue,Low,0
0.16706184154122095,1,Blue,High,1
0.33518778995477927,0,Blue,Low,1
0.14374301714717963,2,Blue,High,0
0.7982436611516385,1,Blue,Low,1
0.7223110522783452,0,Blue,High,0
0.5275536661264045,2,Blue,Low,1
0.6588426847228243,3,Blue,High,1
0.46223063004668985,3,Blue,Low,1
0.6599318044861007,2,Blue,High,0
0.6476030073029728,0,Blue,Low,0
0.5904411050404019,1,Blue,High,1
0.28438409442069745,2,Blue,Low,0
0.5540225836379132,3,Blue,High,0
0.5594697056498279,2,Blue,Low,0
0.7659357775688048,4,Blue,High,1
0.9307766314131022,1,Blue,Low,0
0.7483115202307,2,Blue,High,1
0.1862890997874087,2,Blue,Low,0
0.983217752313101,2,Blue,High,1
0.6322802772937488,3,Blue,Low,1
0.17307055423984108,0,Blue,High,0
0.6930917673135459,0,Blue,Low,1
0.3043231795722432,1,Blue,High,1
0.9942246096547419,2,Blue,Low,1
0.2684900627653357,1,Blue,High,0
0.43348780252164465,0,Blue,Low,0
0.9178139261586115,3,Blue,High,1
0.29405305470679644,2,Blue,Low,1
0.9232875021819088,2,Blue,High,0
0.16522050575832814,1,Blue,Low,1
0.518910434602469,2,Blue,High,0
0.26568240529027787,1,Blue,Low,0
0.04561273859429249,2,Blue,High,0
0.36530053962996956,3,Blue,Low,0
0.8592100970305302,3,Blue,High,0
0.5340044032802813,2,Blue,Low,1
